Trait Heritability,Number of Simulated QTL,Group 1,Group 2,n1,n2,Adjusted p-value,Significance
0.1,1,EMMA,fastGWA-lmm-exact,24,27,1,ns
0.1,1,EMMA,fastGWA-lmm-exact-INBRED,24,25,1,ns
0.1,1,EMMA,fastGWA-lmm-exact-LOCO,24,21,1,ns
0.1,1,fastGWA-lmm-exact,fastGWA-lmm-exact-INBRED,27,25,1,ns
0.1,1,fastGWA-lmm-exact,fastGWA-lmm-exact-LOCO,27,21,1,ns
0.1,1,fastGWA-lmm-exact-INBRED,fastGWA-lmm-exact-LOCO,25,21,1,ns
0.2,1,EMMA,fastGWA-lmm-exact,48,47,0.02171,*
0.2,1,EMMA,fastGWA-lmm-exact-INBRED,48,44,0.69477,ns
0.2,1,EMMA,fastGWA-lmm-exact-LOCO,48,47,0.69477,ns
0.2,1,fastGWA-lmm-exact,fastGWA-lmm-exact-INBRED,47,44,0.07299,ns
0.2,1,fastGWA-lmm-exact,fastGWA-lmm-exact-LOCO,47,47,0.00097,***
0.2,1,fastGWA-lmm-exact-INBRED,fastGWA-lmm-exact-LOCO,44,47,0.5322,ns
0.3,1,EMMA,fastGWA-lmm-exact,50,49,0.6066,ns
0.3,1,EMMA,fastGWA-lmm-exact-INBRED,50,48,0.12139,ns
0.3,1,EMMA,fastGWA-lmm-exact-LOCO,50,50,0.00282,**
0.3,1,fastGWA-lmm-exact,fastGWA-lmm-exact-INBRED,49,48,0.6066,ns
0.3,1,fastGWA-lmm-exact,fastGWA-lmm-exact-LOCO,49,50,0.12139,ns
0.3,1,fastGWA-lmm-exact-INBRED,fastGWA-lmm-exact-LOCO,48,50,0.6066,ns
0.4,1,EMMA,fastGWA-lmm-exact,50,50,1,ns
0.4,1,EMMA,fastGWA-lmm-exact-INBRED,50,50,1,ns
0.4,1,EMMA,fastGWA-lmm-exact-LOCO,50,50,1,ns
0.4,1,fastGWA-lmm-exact,fastGWA-lmm-exact-INBRED,50,50,1,ns
0.4,1,fastGWA-lmm-exact,fastGWA-lmm-exact-LOCO,50,50,1,ns
0.4,1,fastGWA-lmm-exact-INBRED,fastGWA-lmm-exact-LOCO,50,50,1,ns
0.5,1,EMMA,fastGWA-lmm-exact,50,50,0.01141,*
0.5,1,EMMA,fastGWA-lmm-exact-INBRED,50,50,0.01141,*
0.5,1,EMMA,fastGWA-lmm-exact-LOCO,50,50,0.01141,*
0.5,1,fastGWA-lmm-exact,fastGWA-lmm-exact-INBRED,50,50,1,ns
