"","Strain Set","Group 1","Group 2","n1","n2","Adjusted p-value","Significance"
"1","swept.chr.sims","Hyperdivergent_Arm","Hyperdivergent_Center",1859,1038,1,"ns"
"2","swept.chr.sims","Hyperdivergent_Arm","Hyperdivergent_Tip",1859,700,1,"ns"
"3","swept.chr.sims","Hyperdivergent_Arm","Non-Hyperdivergent_Arm",1859,1890,1,"ns"
"4","swept.chr.sims","Hyperdivergent_Arm","Non-Hyperdivergent_Center",1859,1009,0.69252,"ns"
"5","swept.chr.sims","Hyperdivergent_Arm","Non-Hyperdivergent_Tip",1859,695,1,"ns"
"6","swept.chr.sims","Hyperdivergent_Center","Hyperdivergent_Tip",1038,700,1,"ns"
"7","swept.chr.sims","Hyperdivergent_Center","Non-Hyperdivergent_Arm",1038,1890,1,"ns"
"8","swept.chr.sims","Hyperdivergent_Center","Non-Hyperdivergent_Center",1038,1009,1,"ns"
"9","swept.chr.sims","Hyperdivergent_Center","Non-Hyperdivergent_Tip",1038,695,1,"ns"
"10","swept.chr.sims","Hyperdivergent_Tip","Non-Hyperdivergent_Arm",700,1890,1,"ns"
"11","swept.chr.sims","Hyperdivergent_Tip","Non-Hyperdivergent_Center",700,1009,1,"ns"
"12","swept.chr.sims","Hyperdivergent_Tip","Non-Hyperdivergent_Tip",700,695,1,"ns"
"13","swept.chr.sims","Non-Hyperdivergent_Arm","Non-Hyperdivergent_Center",1890,1009,0.35341,"ns"
"14","swept.chr.sims","Non-Hyperdivergent_Arm","Non-Hyperdivergent_Tip",1890,695,1,"ns"
"15","swept.chr.sims","Non-Hyperdivergent_Center","Non-Hyperdivergent_Tip",1009,695,1,"ns"
"16","unswept.chr.sims","Hyperdivergent_Arm","Hyperdivergent_Center",2030,1222,0,"****"
"17","unswept.chr.sims","Hyperdivergent_Arm","Hyperdivergent_Tip",2030,344,1,"ns"
"18","unswept.chr.sims","Hyperdivergent_Arm","Non-Hyperdivergent_Arm",2030,2021,1,"ns"
"19","unswept.chr.sims","Hyperdivergent_Arm","Non-Hyperdivergent_Center",2030,1285,0,"****"
"20","unswept.chr.sims","Hyperdivergent_Arm","Non-Hyperdivergent_Tip",2030,291,0.6635,"ns"
"21","unswept.chr.sims","Hyperdivergent_Center","Hyperdivergent_Tip",1222,344,0.00147,"**"
"22","unswept.chr.sims","Hyperdivergent_Center","Non-Hyperdivergent_Arm",1222,2021,0,"****"
"23","unswept.chr.sims","Hyperdivergent_Center","Non-Hyperdivergent_Center",1222,1285,0.21109,"ns"
"24","unswept.chr.sims","Hyperdivergent_Center","Non-Hyperdivergent_Tip",1222,291,0.6635,"ns"
"25","unswept.chr.sims","Hyperdivergent_Tip","Non-Hyperdivergent_Arm",344,2021,1,"ns"
"26","unswept.chr.sims","Hyperdivergent_Tip","Non-Hyperdivergent_Center",344,1285,0,"****"
"27","unswept.chr.sims","Hyperdivergent_Tip","Non-Hyperdivergent_Tip",344,291,0.62177,"ns"
"28","unswept.chr.sims","Non-Hyperdivergent_Arm","Non-Hyperdivergent_Center",2021,1285,0,"****"
"29","unswept.chr.sims","Non-Hyperdivergent_Arm","Non-Hyperdivergent_Tip",2021,291,0.6635,"ns"
"30","unswept.chr.sims","Non-Hyperdivergent_Center","Non-Hyperdivergent_Tip",1285,291,0.03955,"*"
