"","Trait Heritability","Simulated Divergence","Simulated Chromosome Region","I","II","III","IV","V","X"
"1","0.2","Hyperdivergent","Arm","0.15208","0.0817","0.09815","0.15625","0.08172",""
"2","0.5","Hyperdivergent","Arm","","","","","",""
"3","0.8","Hyperdivergent","Arm","","","","","",""
"4","0.2","Non-Hyperdivergent","Arm","0.03373","0.32909","0.01331","0.16487","0.00752","0.16525"
"5","0.5","Non-Hyperdivergent","Arm","","","0.26603","","",""
"6","0.8","Non-Hyperdivergent","Arm","","","","","",""
"7","0.2","Hyperdivergent","Center","","0.04284","0.17531","0.0308","0.00165","0.00398"
"8","0.5","Hyperdivergent","Center","","","","","0.31731",""
"9","0.8","Hyperdivergent","Center","","","","","",""
"10","0.2","Non-Hyperdivergent","Center","0.16546","0.38907","0.01511","0.00489","0.00225","0.00122"
"11","0.5","Non-Hyperdivergent","Center","","0.15053","0.01773","","",""
"12","0.8","Non-Hyperdivergent","Center","","","","","",""
